Cc,initial void ratio,liquid limit /%,plastic limit /%
0.319,1.1,47.7,22.2
0.332,0.9,44,22
0.255,1.01,44.5,22.1
0.306,1.06,42.5,20
0.396116,1.596,60,32
0.432964,1.692,65,37
0.412237,2,48.1,22.1
0.350056,1.77,48.1,22.1
0.285572,1.5,48.1,22.1
0.248724,1.33,48.1,22.1
0.647143,2.165,86,55
0.419146,1.681,63,36
0.324723,1.268,52,26
0.469812,2.31,88,62
0.656355,3.04,104,40
0.241815,1.11806047,40.25334895,15.06733339
0.193452,2.199107548,76.33333333,16.03333333
0.359268,2.068289905,57.15424109,28.86261205
0.485933,2.935703731,87.89237668,31.24806012
0.603386,3.227233475,90.45236129,37.24639152
0.997199,4.642927736,106.2731853,40.40803527
0.241815,1.863784512,51.33733665,27.29893239
0.27636,1.808514774,46.50616361,19.94220524
0.27636,1.752768208,42.93513736,21.14847604
0.308602,1.575214176,41.99258511,19.45119035
0.191149,1.899619107,61.83333333,17.8
0.204967,2.214470951,70.41762317,13.92187386
0.467509,2.432210998,64.83498233,25.4271181
0.702415,3.08844944,78.51051125,30.64656212
0.426055,1.971252965,50.41644781,20.30334687
0.32,1.377,66,32.3
0.35,1.626,66,32.3
0.23,0.896,50.4,32.8
0.27,1.075,50.4,32.8
0.31,1.2,50.4,32.8
0.28,1.388,72.1,34.8
0.42,1.851,72.1,34.8
0.33,1.59,81.7,39.7
0.4,1.796,81.7,39.7
0.45,2.059,81.7,39.7
0.4,2.123,86.6,42.3
0.53,2.415,86.6,42.3
0.56,2.37,78.6,47.5
0.6,2.85,138.6,70
1,4.288,138.6,70
0.91,2.978,166.2,113.9
1.16,3.587,166.2,113.9
1.34,4.35,166.2,113.9
0.842898,3.64,128,97
0.531993,2.322,67.5,41
0.297087,1.454,46.7,24.7
0.267148,1.315,35,17.8
0.181937,1.08,37,12
0.25333,1.44,49.6,21.9
0.283269,1.563,52.9,25.2
0.430661,2.303,98,58
0.217,1.2,41.4,10.2
0.245,0.995,43.4,12.5
0.333,1.03,53.9,28.1
0.378,1.29,52.7,29.1
0.336,1,44.5,22.2
0.338,1.1,45.6,24
0.343,1.2,46,24.8
0.405,1.37,31.8,13.6
0.292,1.029,35.5,13.5
0.246421,1.11806047,40.25334895,15.06733339
0.246421,1.11806047,40.25334895,15.06733339
0.2303,1.224446678,47.06666667,19.13333334
0.918897,2.960719539,121.867018,55.24076761
0.221088,2.330538004,76.33333333,16.03333333
0.262542,2.550820095,76.33333333,16.03333333
0.308602,1.85906194,49.86666667,15.1
0.306299,2.236012248,61.83333333,17.8
0.338541,2.576592794,70.41762317,13.92187386
0.336238,2.175367327,60.19199913,23.59068996
0.32242,2.5757833,79.82908397,23.18800301
0.492842,2.577278905,73.36903304,31.13206628
0.633325,2.862407123,72.23562772,39.54373198
